cbsa23,cbsatype23,CBSAName23,pop20,afact
29820,Metro,"Las Vegas-Henderson-North Las Vegas, NV",2265461,1
29860,Micro,"Laurel, MS",83613,1
29900,Micro,"Laurinburg, NC",34174,1
29940,Metro,"Lawrence, KS",118785,1
29980,Micro,"Lawrenceburg, TN",44159,1
30020,Metro,"Lawton, OK",126652,1
30060,Micro,"Lebanon, MO",36039,1
30140,Metro,"Lebanon, PA",143257,1
30150,Micro,"Lebanon-Claremont, NH-VT",221211,1
30180,Micro,"Le Mars, IA",25698,1
30260,Micro,"Lewisburg, PA",42681,1
30280,Micro,"Lewisburg, TN",34318,1
30300,Metro,"Lewiston, ID-WA",64375,1
30340,Metro,"Lewiston-Auburn, ME",111139,1
30380,Micro,"Lewistown, PA",46143,1
30420,Micro,"Lexington, NE",26004,1
30460,Metro,"Lexington-Fayette, KY",516811,1
30500,Metro,"Lexington Park, MD",206560,1
30580,Micro,"Liberal, KS",21964,1
30620,Metro,"Lima, OH",102206,1
30660,Micro,"Lincoln, IL",27987,1
30700,Metro,"Lincoln, NE",340217,1
30780,Metro,"Little Rock-North Little Rock-Conway, AR",748031,1
30820,Micro,"Lock Haven, PA",37450,1
30860,Metro,"Logan, UT-ID",147348,1
30900,Micro,"Logansport, IN",37870,1
30980,Metro,"Longview, TX",286184,1
31020,Metro,"Longview-Kelso, WA",110730,1
31060,Micro,"Los Alamos, NM",19419,1
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",13200998,1
31140,Metro,"Louisville/Jefferson County, KY-IN",1362180,1
31180,Metro,"Lubbock, TX",351268,1
31220,Micro,"Ludington, MI",29052,1
31260,Micro,"Lufkin, TX",86395,1
31300,Micro,"Lumberton, NC",116530,1
31340,Metro,"Lynchburg, VA",261593,1
31380,Micro,"Macomb, IL",27238,1
31420,Metro,"Macon-Bibb County, GA",233802,1
31500,Micro,"Madison, IN",33147,1
31540,Metro,"Madison, WI",680796,1
31580,Micro,"Madisonville, KY",45423,1
31620,Micro,"Magnolia, AR",22801,1
31680,Micro,"Malvern, AR",33040,1
31700,Metro,"Manchester-Nashua, NH",422937,1
31740,Metro,"Manhattan, KS",134046,1
31820,Micro,"Manitowoc, WI",81359,1
31860,Metro,"Mankato, MN",103566,1
31900,Metro,"Mansfield, OH",124936,1
31930,Micro,"Marietta, OH",59771,1
31940,Micro,"Marinette, WI-MI",65374,1
31980,Micro,"Marion, IN",66674,1
32000,Micro,"Marion, NC",44578,1
32020,Micro,"Marion, OH",65359,1
32060,Micro,"Marion-Herrin, IL",67153,1
32100,Micro,"Marquette, MI",66017,1
32140,Micro,"Marshall, MN",25269,1
32180,Micro,"Marshall, MO",23333,1
32260,Micro,"Marshalltown, IA",40105,1
32280,Micro,"Martin, TN",32902,1
32300,Micro,"Martinsville, VA",64433,1
32340,Micro,"Maryville, MO",21241,1
32380,Micro,"Mason City, IA",50570,1
32390,Micro,"Massena-Ogdensburg, NY",108505,1
32420,Metro,"Mayagüez, PR",213831,1
32460,Micro,"Mayfield, KY",36649,1
32540,Micro,"McAlester, OK",43773,1
32580,Metro,"McAllen-Edinburg-Mission, TX",870781,1
32620,Micro,"McComb, MS",54208,1
32660,Micro,"McMinnville, TN",40953,1
32700,Micro,"McPherson, KS",30223,1
32740,Micro,"Meadville, PA",83938,1
32780,Metro,"Medford, OR",223259,1
32820,Metro,"Memphis, TN-MS-AR",1345425,1
32860,Micro,"Menomonie, WI",45440,1
32900,Metro,"Merced, CA",281202,1
32940,Micro,"Meridian, MS",88599,1
33020,Micro,"Mexico, MO",24962,1
33060,Micro,"Miami, OK",30285,1
33100,Metro,"Miami-Fort Lauderdale-West Palm Beach, FL",6138333,1
33140,Metro,"Michigan City-La Porte, IN",112417,1
33180,Micro,"Middlesborough, KY",24097,1
33220,Metro,"Midland, MI",83494,1
33260,Metro,"Midland, TX",175220,1
33300,Micro,"Milledgeville, GA",43799,1
33340,Metro,"Milwaukee-Waukesha, WI",1574731,1
33380,Micro,"Minden, LA",36967,1
33420,Micro,"Mineral Wells, TX",28409,1
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",3690261,1
33500,Metro,"Minot, ND",77546,1
33540,Metro,"Missoula, MT",122457,1
33580,Micro,"Mitchell, SD",25747,1
33620,Micro,"Moberly, MO",24716,1
33660,Metro,"Mobile, AL",414809,1
33700,Metro,"Modesto, CA",552878,1
33740,Metro,"Monroe, LA",227147,1
33780,Metro,"Monroe, MI",154809,1
33860,Metro,"Montgomery, AL",386047,1
33900,Micro,"Monticello, IN",24688,1
33910,Micro,"Monticello, NY",78624,1
33940,Micro,"Montrose, CO",42679,1
33980,Micro,"Morehead City, NC",67686,1
34020,Micro,"Morgan City, LA",49406,1
34060,Metro,"Morgantown, WV",140038,1
34100,Metro,"Morristown, TN",119182,1
34140,Micro,"Moscow, ID",39517,1
34180,Micro,"Moses Lake, WA",99123,1
34220,Micro,"Moultrie, GA",45898,1
34260,Micro,"Mountain Home, AR",41627,1
34300,Micro,"Mountain Home, ID",28666,1
34340,Micro,"Mount Airy, NC",71359,1
34380,Micro,"Mount Pleasant, MI",64394,1
34420,Micro,"Mount Pleasant, TX",55684,1
34460,Micro,"Mount Sterling, KY",46977,1
34500,Micro,"Mount Vernon, IL",37113,1
34540,Micro,"Mount Vernon, OH",62721,1
34580,Metro,"Mount Vernon-Anacortes, WA",129523,1
34620,Metro,"Muncie, IN",111903,1
34660,Micro,"Murray, KY",37103,1
34680,Micro,"Murrells Inlet, SC",63404,1
34700,Micro,"Muscatine, IA",43235,1
34740,Metro,"Muskegon-Norton Shores, MI",175824,1
34780,Micro,"Muskogee, OK",66339,1
34820,Metro,"Myrtle Beach-Conway-North Myrtle Beach, SC",351029,1
34860,Micro,"Nacogdoches, TX",64653,1
34880,Micro,"Nantucket, MA",14255,1
34900,Metro,"Napa, CA",138019,1
34940,Metro,"Naples-Marco Island, FL",375752,1
34980,Metro,"Nashville-Davidson--Murfreesboro--Franklin, TN",2014444,1
35020,Micro,"Natchez, MS-LA",55485,1
35060,Micro,"Natchitoches, LA",37515,1
35100,Micro,"New Bern, NC",122168,1
35140,Micro,"Newberry, SC",37719,1
35220,Micro,"New Castle, IN",48914,1
35340,Micro,"New Iberia, LA",69929,1
35380,Metro,"New Orleans-Metairie, LA",1007275,1
35420,Micro,"New Philadelphia-Dover, OH",93263,1
35440,Micro,"Newport, OR",50395,1
35460,Micro,"Newport, TN",35999,1
35580,Micro,"New Ulm, MN",25912,1
35620,Metro,"New York-Newark-Jersey City, NY-NJ",20081935,1
35660,Metro,"Niles, MI",154316,1
35700,Micro,"Nogales, AZ",47669,1
35740,Micro,"Norfolk, NE",48744,1
35820,Micro,"North Platte, NE",35392,1
35840,Metro,"North Port-Bradenton-Sarasota, FL",833716,1
35900,Micro,"North Wilkesboro, NC",65969,1
35940,Micro,"Norwalk, OH",58565,1
36020,Micro,"Oak Harbor, WA",86857,1
36100,Metro,"Ocala, FL",375908,1
36180,Micro,"Ocean Pines, MD",52460,1
36220,Metro,"Odessa, TX",165171,1
36260,Metro,"Ogden, UT",637197,1
36340,Micro,"Oil City, PA",50454,1
36380,Micro,"Okeechobee, FL",39644,1
36420,Metro,"Oklahoma City, OK",1425695,1
36460,Micro,"Olean, NY",77042,1
36500,Metro,"Olympia-Lacey-Tumwater, WA",294793,1
36540,Metro,"Omaha, NE-IA",967604,1
36580,Micro,"Oneonta, NY",58524,1
36620,Micro,"Ontario, OR-ID",56957,1
36660,Micro,"Opelousas, LA",82540,1
36700,Micro,"Orangeburg, SC",84223,1
36740,Metro,"Orlando-Kissimmee-Sanford, FL",2673376,1
36780,Metro,"Oshkosh-Neenah, WI",171730,1
36820,Micro,"Oskaloosa, IA",22190,1
36830,Micro,"Othello, WA",20613,1
36837,Micro,"Ottawa, IL",148539,1
36840,Micro,"Ottawa, KS",25996,1
36900,Micro,"Ottumwa, IA",35437,1
36940,Micro,"Owatonna, MN",37406,1
36980,Metro,"Owensboro, KY",112464,1
37020,Micro,"Owosso, MI",68094,1
37060,Micro,"Oxford, MS",68294,1
37100,Metro,"Oxnard-Thousand Oaks-Ventura, CA",843843,1
37120,Micro,"Ozark, AL",49326,1
37140,Metro,"Paducah, KY-IL",103486,1
37220,Micro,"Pahrump, NV",51591,1
37260,Micro,"Palatka, FL",73321,1
37300,Micro,"Palestine, TX",57922,1
37340,Metro,"Palm Bay-Melbourne-Titusville, FL",606612,1
37420,Micro,"Pampa, TX",22054,1
37460,Metro,"Panama City-Panama City Beach, FL",200534,1
37500,Micro,"Paragould, AR",45736,1
37540,Micro,"Paris, TN",32199,1
37580,Micro,"Paris, TX",61675,1
37620,Metro,"Parkersburg-Vienna, WV",89490,1
37740,Micro,"Payson, AZ",53272,1
37800,Micro,"Pella, IA",33414,1
37860,Metro,"Pensacola-Ferry Pass-Brent, FL",509905,1
37900,Metro,"Peoria, IL",368782,1
37940,Micro,"Peru, IN",35962,1
37950,Micro,"Petoskey, MI",34112,1
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051,1
38060,Metro,"Phoenix-Mesa-Chandler, AZ",4845832,1
38100,Micro,"Picayune, MS",56145,1
38180,Micro,"Pierre, SD",20745,1
38210,Micro,"Pikeville, KY",94611,1
38220,Micro,"Pine Bluff, AR",74810,1
38240,Metro,"Pinehurst-Southern Pines, NC",99727,1
38260,Micro,"Pittsburg, KS",38972,1
38300,Metro,"Pittsburgh, PA",2457000,1
38340,Metro,"Pittsfield, MA",129026,1
38380,Micro,"Plainview, TX",37924,1
38420,Micro,"Platteville, WI",51938,1
38460,Micro,"Plattsburgh, NY",79843,1
38500,Micro,"Plymouth, IN",46095,1
38540,Metro,"Pocatello, ID",87018,1
38620,Micro,"Ponca City, OK",43700,1
38660,Metro,"Ponce, PR",278477,1
38700,Micro,"Pontiac, IL",35815,1
38740,Micro,"Poplar Bluff, MO",42130,1
38820,Micro,"Port Angeles, WA",77155,1
38860,Metro,"Portland-South Portland, ME",551740,1
38900,Metro,"Portland-Vancouver-Hillsboro, OR-WA",2512859,1
38920,Micro,"Port Lavaca, TX",20106,1
38940,Metro,"Port St. Lucie, FL",487657,1
39020,Micro,"Portsmouth, OH",74008,1
39040,Micro,"Port Townsend, WA",32977,1
39060,Micro,"Pottsville, PA",143049,1
39150,Metro,"Prescott Valley-Prescott, AZ",236209,1
39220,Micro,"Price, UT",20412,1
39300,Metro,"Providence-Warwick, RI-MA",1676579,1
39340,Metro,"Provo-Orem-Lehi, UT",671185,1
39380,Metro,"Pueblo, CO",168162,1
39420,Micro,"Pullman, WA",47973,1
39460,Metro,"Punta Gorda, FL",186847,1
39500,Micro,"Quincy, IL-MO",75769,1
39540,Metro,"Racine-Mount Pleasant, WI",197727,1
39580,Metro,"Raleigh-Cary, NC",1413982,1
39660,Metro,"Rapid City, SD",147392,1
39700,Micro,"Raymondville, TX",20164,1
39740,Metro,"Reading, PA",428849,1
39780,Micro,"Red Bluff, CA",65829,1
39820,Metro,"Redding, CA",182155,1
39860,Micro,"Red Wing, MN",47582,1
39900,Metro,"Reno, NV",549831,1
39940,Micro,"Rexburg, ID",66301,1
39960,Micro,"Rice Lake, WI",46711,1
39980,Micro,"Richmond, IN",66553,1
40060,Metro,"Richmond, VA",1314434,1
40080,Micro,"Richmond-Berea, KY",122901,1
40090,Micro,"Rifle, CO",79043,1
40100,Micro,"Rio Grande City-Roma, TX",65920,1
40140,Metro,"Riverside-San Bernardino-Ontario, CA",4599839,1
40180,Micro,"Riverton, WY",39234,1
40220,Metro,"Roanoke, VA",315251,1
40260,Micro,"Roanoke Rapids, NC",66093,1
40300,Micro,"Rochelle, IL",51788,1
40340,Metro,"Rochester, MN",226329,1
40380,Metro,"Rochester, NY",1065361,1
40420,Metro,"Rockford, IL",338798,1
40460,Micro,"Rockingham, NC",42946,1
40540,Micro,"Rock Springs, WY",42272,1
40580,Metro,"Rocky Mount, NC",143870,1
40620,Micro,"Rolla, MO",44638,1
40660,Metro,"Rome, GA",98584,1
40700,Micro,"Roseburg, OR",111201,1
40740,Micro,"Roswell, NM",65157,1
40760,Micro,"Ruidoso, NM",20269,1
40770,Micro,"Russellville, AL",32113,1
40780,Micro,"Russellville, AR",83644,1
40820,Micro,"Ruston, LA",48396,1
40860,Micro,"Rutland, VT",60572,1
40900,Metro,"Sacramento-Roseville-Folsom, CA",2397382,1
40940,Micro,"Safford, AZ",38533,1
40980,Metro,"Saginaw, MI",190124,1
41060,Metro,"St. Cloud, MN",199671,1
41100,Metro,"St. George, UT",180279,1
41140,Metro,"St. Joseph, MO-KS",121467,1
41180,Metro,"St. Louis, MO-IL",2820253,1
41260,Micro,"St. Marys, PA",30990,1
41400,Micro,"Salem, OH",101877,1
41420,Metro,"Salem, OR",433353,1
41460,Micro,"Salina, KS",60038,1
41500,Metro,"Salinas, CA",439035,1
41540,Metro,"Salisbury, MD",128208,1
41620,Metro,"Salt Lake City-Murray, UT",1257936,1
41660,Metro,"San Angelo, TX",121516,1
41700,Metro,"San Antonio-New Braunfels, TX",2558143,1
41740,Metro,"San Diego-Chula Vista-Carlsbad, CA",3298634,1
41760,Micro,"Sandpoint, ID",47110,1
41780,Metro,"Sandusky, OH",115986,1
41820,Micro,"Sanford, NC",63285,1
41860,Metro,"San Francisco-Oakland-Fremont, CA",4749008,1
41940,Metro,"San Jose-Sunnyvale-Santa Clara, CA",2000468,1
41980,Metro,"San Juan-Bayamón-Caguas, PR",2081265,1
42020,Metro,"San Luis Obispo-Paso Robles, CA",282424,1
42100,Metro,"Santa Cruz-Watsonville, CA",270861,1
42140,Metro,"Santa Fe, NM",154823,1
42200,Metro,"Santa Maria-Santa Barbara, CA",448229,1
42220,Metro,"Santa Rosa-Petaluma, CA",488863,1
42300,Micro,"Sault Ste. Marie, MI",36785,1
42340,Metro,"Savannah, GA",404798,1
42380,Micro,"Sayre, PA",59967,1
42420,Micro,"Scottsbluff, NE",36758,1
42460,Micro,"Scottsboro, AL",52579,1
42540,Metro,"Scranton--Wilkes-Barre, PA",567559,1
42580,Micro,"Seaford, DE",237378,1
42620,Micro,"Searcy, AR",76822,1
42660,Metro,"Seattle-Tacoma-Bellevue, WA",4018762,1
42680,Metro,"Sebastian-Vero Beach-West Vero Corridor, FL",159788,1
42700,Metro,"Sebring, FL",101235,1
42740,Micro,"Sedalia, MO",42980,1
42780,Micro,"Selinsgrove, PA",39736,1
42820,Micro,"Selma, AL",38462,1
42860,Micro,"Seneca, SC",78607,1
42900,Micro,"Seneca Falls, NY",33814,1
42940,Micro,"Sevierville, TN",98380,1
42980,Micro,"Seymour, IN",46428,1
43020,Micro,"Shawano, WI",45136,1
43060,Micro,"Shawnee, OK",72454,1
43100,Metro,"Sheboygan, WI",118034,1
43140,Micro,"Shelby-Kings Mountain, NC",99519,1
43180,Micro,"Shelbyville, TN",50237,1
43220,Micro,"Shelton, WA",65726,1
43260,Micro,"Sheridan, WY",30921,1
43300,Metro,"Sherman-Denison, TX",135543,1
43320,Micro,"Show Low, AZ",106717,1
43340,Metro,"Shreveport-Bossier City, LA",393406,1
43380,Micro,"Sidney, OH",48230,1
43420,Metro,"Sierra Vista-Douglas, AZ",125447,1
43460,Micro,"Sikeston, MO",50636,1
43500,Micro,"Silver City, NM",28185,1
43580,Metro,"Sioux City, IA-NE-SD",144334,1
43620,Metro,"Sioux Falls, SD-MN",286434,1
43640,Metro,"Slidell-Mandeville-Covington, LA",264570,1
43660,Micro,"Snyder, TX",16932,1
43700,Micro,"Somerset, KY",65034,1
43740,Micro,"Somerset, PA",74129,1
43760,Micro,"Sonora, CA",55620,1
43780,Metro,"South Bend-Mishawaka, IN-MI",324501,1
43890,Micro,"Sparta, WI",46274,1
43900,Metro,"Spartanburg, SC",355241,1
43940,Micro,"Spearfish, SD",25768,1
43980,Micro,"Spencer, IA",16384,1
44020,Micro,"Spirit Lake, IA",17703,1
44060,Metro,"Spokane-Spokane Valley, WA",585784,1
44100,Metro,"Springfield, IL",208640,1
44140,Metro,"Springfield, MA",465825,1
44180,Metro,"Springfield, MO",475432,1
44220,Metro,"Springfield, OH",136001,1
44260,Micro,"Starkville, MS",61714,1
44300,Metro,"State College, PA",158172,1
44340,Micro,"Statesboro, GA",91873,1
44420,Metro,"Staunton-Stuarts Draft, VA",125433,1
44460,Micro,"Steamboat Springs, CO",38121,1
44500,Micro,"Stephenville, TX",42545,1
44540,Micro,"Sterling, CO",21528,1
44580,Micro,"Sterling, IL",55691,1
44620,Micro,"Stevens Point-Plover, WI",70377,1
44660,Micro,"Stillwater, OK",81646,1
44700,Metro,"Stockton-Lodi, CA",779233,1
44740,Micro,"Storm Lake, IA",20823,1
44780,Micro,"Sturgis, MI",60939,1
44860,Micro,"Sulphur Springs, TX",36787,1
44900,Micro,"Summerville, GA",24965,1
44940,Metro,"Sumter, SC",105556,1
44980,Micro,"Sunbury, PA",109783,1
45000,Micro,"Susanville, CA",32730,1
45020,Micro,"Sweetwater, TX",14738,1
45060,Metro,"Syracuse, NY",662057,1
45140,Micro,"Tahlequah, OK",47078,1
45180,Micro,"Talladega-Sylacauga, AL",92536,1
45220,Metro,"Tallahassee, FL",384298,1
45300,Metro,"Tampa-St. Petersburg-Clearwater, FL",3175275,1
45340,Micro,"Taos, NM",34489,1
45380,Micro,"Taylorville, IL",34032,1
45460,Metro,"Terre Haute, IN",168875,1
45500,Metro,"Texarkana, TX-AR",147519,1
45520,Micro,"The Dalles, OR",26670,1
45580,Micro,"Thomaston, GA",27700,1
45620,Micro,"Thomasville, GA",72034,1
45660,Micro,"Tiffin, OH",55069,1
45700,Micro,"Tifton, GA",50350,1
45740,Micro,"Toccoa, GA",26784,1
45780,Metro,"Toledo, OH",606240,1
45820,Metro,"Topeka, KS",233152,1
45880,Micro,"Town of Pecos, TX",14748,1
45900,Metro,"Traverse City, MI",153448,1
45940,Metro,"Trenton-Princeton, NJ",387340,1
45980,Micro,"Troy, AL",33009,1
46020,Micro,"Truckee-Grass Valley, CA",102241,1
46060,Metro,"Tucson, AZ",1043433,1
46100,Micro,"Tullahoma-Manchester, TN",64350,1
46140,Metro,"Tulsa, OK",1015331,1
46180,Micro,"Tupelo, MS",132214,1
46220,Metro,"Tuscaloosa, AL",268674,1
46300,Metro,"Twin Falls, ID",114283,1
46340,Metro,"Tyler, TX",233479,1
46380,Micro,"Ukiah, CA",91601,1
46460,Micro,"Union City, TN",30787,1
46500,Micro,"Urbana, OH",38714,1
46520,Metro,"Urban Honolulu, HI",1016508,1
46540,Metro,"Utica-Rome, NY",292264,1
46580,Micro,"Utuado, PR",28287,1
46620,Micro,"Uvalde, TX",24564,1
46660,Metro,"Valdosta, GA",148126,1
46700,Metro,"Vallejo, CA",453491,1
46780,Micro,"Van Wert, OH",28931,1
46820,Micro,"Vermillion, SD",14967,1
46860,Micro,"Vernal, UT",35620,1
46900,Micro,"Vernon, TX",12887,1
46980,Micro,"Vicksburg, MS",44722,1
47020,Metro,"Victoria, TX",98331,1
47080,Micro,"Vidalia, GA",35640,1
47180,Micro,"Vincennes, IN",36282,1
47220,Metro,"Vineland, NJ",154152,1
47240,Micro,"Vineyard Haven, MA",20600,1
47260,Metro,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1780059,1
47300,Metro,"Visalia, CA",473117,1
47340,Micro,"Wabash, IN",30976,1
47380,Metro,"Waco, TX",295782,1
47420,Micro,"Wahpeton, ND-MN",23035,1
47460,Metro,"Walla Walla, WA",62584,1
47540,Micro,"Wapakoneta, OH",46422,1
47580,Metro,"Warner Robins, GA",191614,1
47620,Micro,"Warren, PA",38587,1
47660,Micro,"Warrensburg, MO",54013,1
47700,Micro,"Warsaw, IN",80240,1
47780,Micro,"Washington, IN",33381,1
47820,Micro,"Washington, NC",44652,1
47900,Metro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6278542,1
47920,Micro,"Washington Court House, OH",28951,1
47940,Metro,"Waterloo-Cedar Falls, IA",168461,1
47980,Micro,"Watertown, SD",28325,1
48020,Micro,"Watertown-Fort Atkinson, WI",84900,1
48060,Metro,"Watertown-Fort Drum, NY",116721,1
48140,Metro,"Wausau, WI",138013,1
48180,Micro,"Waycross, GA",55967,1
48200,Micro,"Waynesville, NC",62089,1
48220,Micro,"Weatherford, OK",39437,1
48260,Metro,"Weirton-Steubenville, WV-OH",116903,1
48300,Metro,"Wenatchee-East Wenatchee, WA",122012,1
48460,Micro,"West Plains, MO",39750,1
48540,Metro,"Wheeling, WV-OH",139513,1
48580,Micro,"Whitewater-Elkhorn, WI",106478,1
48620,Metro,"Wichita, KS",647610,1
48660,Metro,"Wichita Falls, TX",148128,1
48680,Metro,"Wildwood-The Villages, FL",129752,1
48700,Metro,"Williamsport, PA",114188,1
48780,Micro,"Williston, ND",40950,1
48820,Micro,"Willmar, MN",43732,1
48900,Metro,"Wilmington, NC",422598,1
48940,Micro,"Wilmington, OH",42018,1
48980,Micro,"Wilson, NC",78784,1
49010,Micro,"Winchester, TN",42774,1
49020,Metro,"Winchester, VA-WV",142632,1
49080,Micro,"Winnemucca, NV",17285,1
49100,Micro,"Winona, MN",49671,1
49180,Metro,"Winston-Salem, NC",675966,1
49220,Micro,"Wisconsin Rapids-Marshfield, WI",74207,1
49260,Micro,"Woodward, OK",20470,1
49300,Micro,"Wooster, OH",116894,1
49340,Metro,"Worcester, MA",862111,1
49380,Micro,"Worthington, MN",22290,1
49420,Metro,"Yakima, WA",256728,1
49460,Micro,"Yankton, SD",23310,1
49620,Metro,"York-Hanover, PA",456438,1
49660,Metro,"Youngstown-Warren, OH",430591,1
49700,Metro,"Yuba City, CA",181208,1
49740,Metro,"Yuma, AZ",203881,1
49780,Micro,"Zanesville, OH",86410,1
49820,Micro,"Zapata, TX",13889,1
99999, ,[not in any CBSA],21541361,1